Name,X  (NZGD2000),Y  (NZGD2000),Z,Type,Latitude  (WGS84),Longitude  (WGS84),,,Radius,Center X  (NZGD2000),Center Y  (NZGD2000),Center Latitude  (WGS84),Center Longitude  (WGS84),Attribute,Attribute,Attribute,Attribute,Attribute,Attribute,Attribute
THR RWY 10,1672069.7706249,5403787.7848971,29.2608000,*,S41.5143033,E173.8636821,,,,,,,,413051.4920S,1735149.2554E,NZWB,,,,
THR RWY 06G,1671830.4364960,5403499.1574236,31.6992000,*,S41.5169243,E173.8608486,,,,,,,,413100.9276S,1735139.0551E,NZWB,,,,
THR RWY 24G,1673239.1977676,5403584.6745908,23.7744000,*,S41.5160265,E173.8777196,,,,,,,,413057.6955S,1735239.7905E,NZWB,,,,
RWY RWY-11/29,1197933.5466852,5040559.8603213,3.0480000,*,S44.6755528,E167.9272500,,,,,,,,444031.99S,1675538.10E,NZMF,,,,
THR RWY 11,1197258.3970180,5040978.9454554,0.6096000,*,S44.6714167,E167.9190944,,,,,,,,444017.10S,1675508.74E,NZMF,,,,
THR RWY 29,1197914.7028522,5040571.3849188,3.0480000,*,S44.6754389,E167.9270222,,,,,,,,444031.58S,1675537.28E,NZMF,,,,
THR RWY 29,1562879.5528555,5184181.2626992,28.9560000,*,S43.4943722,E172.5408833,,,,,,,,432939.74S,1723227.18E,NZCH,,,,
THR RWY 11,1561541.5612587,5185294.8559813,35.0520000,*,S43.4842778,E172.5244139,,,,,,,,432903.40S,1723127.89E,NZCH,,,,
THR RWY 02,1561364.0835346,5183810.8571735,37.4904000,*,S43.4976306,E172.5221139,,,,,,,,432951.47S,1723119.61E,NZCH,,,,
THR RWY 20,1563466.4027360,5186337.2101494,28.3464000,*,S43.4749889,E172.5482861,,,,,,,,432829.96S,1723253.83E,NZCH,,,,
THR RWY 20G,1562380.0920817,5185500.4296212,34.1376000,*,S43.4824694,E172.5347972,,,,,,,,432856.89S,1723205.27E,NZCH,,,,
THR RWY 02G,1562051.4282794,5185104.6255516,34.1376000,*,S43.4860167,E172.5307056,,,,,,,,432909.66S,1723150.54E,NZCH,,,,
THR RWY 30,1435606.6837719,5268341.0836734,46.6344000,*,S42.7198415,E170.9922421,,,,,,,,424311.4295S,1705932.0714E,NZHK,,,,
THR RWY 12,1434943.6064311,5269312.3423473,37.1856000,*,S42.7109580,E170.9844317,,,,,,,,424239.4489S,1705903.9541E,NZHK,,,,
THR RWY 03,1434608.2455034,5269033.5398308,37.7952000,*,S42.7133951,E170.9802576,,,,,,,,424248.2224S,1705848.9272E,NZHK,,,,
THR RWY 21,1435560.6214932,5269682.0496072,35.6616000,*,S42.7077630,E170.9920691,,,,,,,,424227.9467S,1705931.4487E,NZHK,,,,
RWY RWY-03/21,1435627.5747051,5269727.6135312,35.3568000,*,S42.7073672,E170.9928994,,,,,,,,424226.5220S,1705934.4377E,NZHK,,,,
